combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_distance;shot_made_flag;shot_type
Layup;-21;0;2;4;0;2002-03;49;2;0;2PT Field Goal
Layup;10;0;4;4;0;2005-06;0;1;0;2PT Field Goal
Jump Shot;97;85;2;4;0;2014-15;50;12;1;2PT Field Goal
Jump Shot;173;128;5;3;1;1997-98;28;21;1;2PT Field Goal
Jump Shot;50;173;0;7;0;2010-11;44;18;0;2PT Field Goal
Jump Shot;7;194;6;2;1;2000-01;25;19;1;2PT Field Goal
Layup;0;0;6;2;0;2009-10;29;0;0;2PT Field Goal
Dunk;0;0;2;1;0;2001-02;58;0;1;2PT Field Goal
Jump Shot;0;205;11;1;0;2009-10;36;20;1;2PT Field Goal
Jump Shot;-149;359;0;4;0;2010-11;56;38;0;3PT Field Goal
Layup;0;19;0;1;0;2012-13;6;1;0;2PT Field Goal
Jump Shot;-57;72;2;3;0;1999-00;47;9;0;2PT Field Goal
Jump Shot;-38;59;4;3;0;2004-05;55;7;0;2PT Field Goal
Layup;-23;17;0;2;0;2010-11;11;2;1;2PT Field Goal
Layup;9;12;6;3;0;2012-13;20;1;1;2PT Field Goal
Layup;0;0;0;3;0;2005-06;56;0;1;2PT Field Goal
Jump Shot;-160;203;6;3;0;2015-16;48;25;0;3PT Field Goal
Dunk;0;0;3;1;0;1997-98;16;0;1;2PT Field Goal
Layup;0;0;6;3;0;2007-08;57;0;0;2PT Field Goal
Layup;15;18;9;4;0;2003-04;26;2;0;2PT Field Goal
Jump Shot;156;-13;9;2;0;2005-06;17;15;1;2PT Field Goal
Jump Shot;-82;141;10;1;0;2006-07;23;16;1;2PT Field Goal
Layup;20;4;3;2;1;2010-11;0;2;1;2PT Field Goal
Jump Shot;158;194;7;2;0;2004-05;52;25;0;3PT Field Goal
Jump Shot;-107;171;1;3;0;2005-06;47;20;1;2PT Field Goal
Jump Shot;135;114;2;4;0;2007-08;58;17;0;2PT Field Goal
Jump Shot;172;-3;4;4;0;2006-07;2;17;0;2PT Field Goal
Layup;0;0;7;4;0;2002-03;4;0;0;2PT Field Goal
Jump Shot;149;63;4;3;0;1998-99;34;16;1;2PT Field Goal
Layup;0;0;11;4;0;1997-98;32;0;0;2PT Field Goal
Jump Shot;217;163;5;1;0;2005-06;50;27;0;3PT Field Goal
Jump Shot;-171;190;2;1;0;2014-15;29;25;1;3PT Field Goal
Jump Shot;99;138;9;3;0;2008-09;7;16;0;2PT Field Goal
Jump Shot;0;44;10;3;0;2012-13;38;4;1;2PT Field Goal
Jump Shot;126;70;10;3;1;1998-99;52;14;0;2PT Field Goal
Jump Shot;131;227;0;1;0;2004-05;0;26;0;3PT Field Goal
Layup;0;0;4;1;0;2009-10;33;0;0;2PT Field Goal
Jump Shot;-141;215;6;1;0;2006-07;14;25;0;3PT Field Goal
Jump Shot;-191;178;1;4;0;2007-08;57;26;0;3PT Field Goal
Dunk;0;0;9;2;0;2006-07;56;0;1;2PT Field Goal
Jump Shot;161;118;6;4;0;2005-06;43;19;0;2PT Field Goal
Jump Shot;-107;201;3;1;0;2007-08;32;22;0;2PT Field Goal
Jump Shot;134;216;9;2;0;1997-98;51;25;1;3PT Field Goal
Jump Shot;-6;149;2;3;0;1997-98;2;14;0;2PT Field Goal
Jump Shot;-29;171;5;3;0;2001-02;54;17;0;2PT Field Goal
Jump Shot;-99;225;9;4;0;2004-05;27;24;1;3PT Field Goal
Jump Shot;69;61;0;2;0;2014-15;6;9;0;2PT Field Goal
Layup;0;0;9;1;0;1998-99;10;0;1;2PT Field Goal
Layup;20;18;11;3;1;2003-04;36;2;1;2PT Field Goal
Layup;0;0;1;1;0;2004-05;28;0;0;2PT Field Goal
Jump Shot;-11;52;2;4;0;2012-13;20;5;0;2PT Field Goal
Dunk;0;0;7;2;0;2000-01;24;0;1;2PT Field Goal
Jump Shot;64;104;2;2;0;2010-11;7;12;0;2PT Field Goal
Jump Shot;-103;119;4;3;0;2010-11;10;15;0;2PT Field Goal
Layup;0;0;0;3;0;1999-00;7;0;1;2PT Field Goal
Dunk;0;0;10;1;0;1999-00;56;0;1;2PT Field Goal
Jump Shot;-94;4;2;1;0;2000-01;44;9;0;2PT Field Goal
Layup;0;0;0;2;1;2003-04;57;0;0;2PT Field Goal
Layup;0;0;4;2;0;2006-07;22;0;0;2PT Field Goal
Jump Shot;164;5;1;3;1;1999-00;56;16;0;2PT Field Goal
Jump Shot;-185;164;2;2;0;2008-09;5;24;0;3PT Field Goal
Dunk;-5;8;2;3;1;2007-08;53;0;1;2PT Field Goal
Jump Shot;-95;230;0;3;0;2002-03;5;24;1;3PT Field Goal
Jump Shot;103;110;2;3;0;2010-11;31;15;1;2PT Field Goal
Jump Shot;-18;89;3;3;0;2007-08;0;9;1;2PT Field Goal
Jump Shot;-1;68;7;2;0;2000-01;5;6;1;2PT Field Goal
Jump Shot;63;147;8;1;0;1998-99;39;15;0;2PT Field Goal
Jump Shot;58;47;3;4;0;2000-01;40;7;0;2PT Field Goal
Jump Shot;-123;58;5;4;0;2004-05;53;13;1;2PT Field Goal
Jump Shot;71;88;2;2;1;1996-97;49;11;1;2PT Field Goal
Jump Shot;-170;-6;11;3;0;2001-02;5;17;0;2PT Field Goal
Jump Shot;120;227;0;4;0;2002-03;7;25;1;3PT Field Goal
Layup;0;0;10;1;0;2003-04;42;0;1;2PT Field Goal
Jump Shot;153;-8;3;3;0;2005-06;11;15;0;2PT Field Goal
Jump Shot;174;191;9;3;0;2006-07;18;25;0;3PT Field Goal
Layup;0;0;2;4;0;2007-08;42;0;0;2PT Field Goal
Jump Shot;-134;230;10;4;0;2001-02;19;26;0;3PT Field Goal
Dunk;3;4;7;1;0;2001-02;49;0;0;2PT Field Goal
Jump Shot;161;143;2;2;1;2006-07;17;21;1;2PT Field Goal
Layup;1;-8;1;2;0;2012-13;0;0;1;2PT Field Goal
Jump Shot;7;93;11;4;0;2009-10;21;9;0;2PT Field Goal
Layup;0;0;1;2;0;2008-09;15;0;1;2PT Field Goal
Jump Shot;47;196;10;3;1;2007-08;38;20;1;2PT Field Goal
Jump Shot;85;194;4;3;0;2007-08;27;21;1;2PT Field Goal
Jump Shot;-141;122;11;2;0;2005-06;43;18;1;2PT Field Goal
Layup;0;0;6;2;0;2000-01;26;0;1;2PT Field Goal
Jump Shot;164;187;9;2;0;2005-06;0;24;1;3PT Field Goal
Jump Shot;156;107;3;4;0;2005-06;51;18;1;2PT Field Goal
Jump Shot;77;43;11;3;0;2004-05;43;8;1;2PT Field Goal
Jump Shot;150;51;0;4;0;2001-02;36;15;1;2PT Field Goal
Jump Shot;49;143;8;2;0;2004-05;42;15;0;2PT Field Goal
Jump Shot;44;184;4;2;0;2002-03;45;18;1;2PT Field Goal
Jump Shot;-159;38;6;1;0;2002-03;32;16;1;2PT Field Goal
Layup;0;0;6;3;0;2008-09;21;0;1;2PT Field Goal
Jump Shot;-201;143;11;3;0;2012-13;28;24;0;3PT Field Goal
Jump Shot;229;-7;0;2;0;1996-97;1;22;0;3PT Field Goal
Layup;21;46;5;2;0;2006-07;46;5;0;2PT Field Goal
Jump Shot;-65;74;8;3;0;2010-11;5;9;1;2PT Field Goal
Dunk;0;0;7;1;0;2001-02;27;0;1;2PT Field Goal
Jump Shot;103;192;2;2;0;2007-08;38;21;0;2PT Field Goal
Layup;0;0;3;2;1;2009-10;16;0;0;2PT Field Goal
Jump Shot;-170;-2;1;1;0;2001-02;17;17;0;2PT Field Goal
Layup;-19;16;2;4;0;2015-16;15;2;0;2PT Field Goal
Jump Shot;43;45;0;5;0;2002-03;19;6;1;2PT Field Goal
Jump Shot;107;179;9;3;0;2005-06;14;20;1;2PT Field Goal
Jump Shot;1;187;3;2;0;2012-13;41;18;0;2PT Field Goal
Jump Shot;222;13;3;2;0;2001-02;40;22;0;3PT Field Goal
Jump Shot;1;77;7;2;0;2006-07;6;7;0;2PT Field Goal
Jump Shot;81;133;6;1;0;2000-01;48;15;1;2PT Field Goal
Jump Shot;21;162;7;4;0;2011-12;38;16;1;2PT Field Goal
Layup;0;0;2;1;0;2005-06;19;0;0;2PT Field Goal
Layup;0;0;9;4;0;2006-07;21;0;0;2PT Field Goal
Jump Shot;-12;169;3;2;1;1999-00;55;16;0;2PT Field Goal
Jump Shot;75;179;0;2;0;2001-02;0;19;0;2PT Field Goal
Layup;0;0;0;5;0;2000-01;4;0;1;2PT Field Goal
Jump Shot;-18;61;1;3;0;2008-09;23;6;0;2PT Field Goal
Layup;0;0;2;3;0;2000-01;36;0;0;2PT Field Goal
Jump Shot;-52;108;2;1;0;2010-11;35;11;0;2PT Field Goal
Layup;24;7;1;3;0;2014-15;24;2;0;2PT Field Goal
Jump Shot;207;154;1;2;0;2015-16;51;25;0;3PT Field Goal
Jump Shot;-230;61;6;1;0;2015-16;23;23;1;3PT Field Goal
Jump Shot;-111;150;6;1;0;2001-02;2;18;0;2PT Field Goal
Jump Shot;136;99;9;1;1;2001-02;56;16;0;2PT Field Goal
Jump Shot;-143;120;7;1;1;2002-03;51;18;0;2PT Field Goal
Jump Shot;-122;129;0;1;0;2012-13;6;17;0;2PT Field Goal
Jump Shot;-161;332;3;3;1;2007-08;36;36;0;3PT Field Goal
Jump Shot;72;42;2;3;0;1997-98;40;8;0;2PT Field Goal
Jump Shot;39;192;5;4;0;2000-01;2;19;1;2PT Field Goal
Jump Shot;243;34;9;1;0;2000-01;42;24;1;3PT Field Goal
Jump Shot;125;224;7;1;1;2002-03;59;25;0;3PT Field Goal
Layup;0;0;3;4;0;2007-08;43;0;0;2PT Field Goal
Jump Shot;38;61;11;4;0;2003-04;45;7;0;2PT Field Goal
Jump Shot;-13;145;8;4;0;2004-05;36;14;0;2PT Field Goal
Layup;0;0;1;2;1;2008-09;50;0;1;2PT Field Goal
Jump Shot;140;51;11;4;0;2006-07;17;14;0;2PT Field Goal
Jump Shot;-116;91;0;5;1;2008-09;47;14;0;2PT Field Goal
Layup;0;0;10;3;0;1998-99;33;0;1;2PT Field Goal
Jump Shot;164;66;2;4;0;2005-06;28;17;0;2PT Field Goal
Jump Shot;130;228;2;3;0;2008-09;57;26;1;3PT Field Goal
Jump Shot;-86;184;4;3;0;2012-13;45;20;1;2PT Field Goal
Jump Shot;193;34;1;3;0;2000-01;55;19;0;2PT Field Goal
Jump Shot;-149;203;0;3;0;1999-00;29;25;0;3PT Field Goal
Jump Shot;-206;91;0;2;0;2000-01;30;22;0;2PT Field Goal
Jump Shot;-40;151;1;4;0;2011-12;16;15;1;2PT Field Goal
Jump Shot;42;46;6;3;0;1998-99;59;6;0;2PT Field Goal
